SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
80104104628,23,35,29,32,36,6,4,25,5,198
80104104629,0,5,0,0,3,0,0,0,0,6
80104104630,25,46,22,19,24,10,6,3,6,164
80104104631,35,39,22,25,37,13,13,14,6,204
80104104632,40,100,54,41,56,18,10,20,9,357
80104104633,35,63,36,40,45,20,18,18,3,286
80104104634,35,59,20,25,34,16,12,15,0,220
80104104635,30,32,19,19,22,9,4,13,0,157
80104104636,26,40,23,16,32,15,4,12,3,166
80104104637,21,48,23,24,26,9,6,17,0,173
80104104701,24,60,17,12,18,4,5,10,9,160
80104104702,45,60,10,22,29,9,0,6,0,178
80104104703,66,100,18,27,46,14,5,9,0,275
80104104704,26,43,8,15,26,12,5,7,0,137
80104104705,47,63,24,15,32,17,10,8,8,218
80104104706,41,61,17,21,31,19,6,5,5,208
80104104707,26,36,4,14,20,12,3,6,0,128
80104104708,26,56,21,16,28,17,4,14,0,191
80104104709,13,37,17,15,26,6,4,9,0,126
80104104710,60,68,15,18,52,12,0,7,6,240
80104104711,44,95,29,21,45,12,6,7,5,270
80104104712,16,33,11,27,23,6,8,4,0,141
80104104713,36,62,30,20,39,20,8,18,0,228
80104104714,0,0,0,0,0,0,0,0,0,0
80104104715,25,40,20,13,33,11,3,0,0,144
80104104716,45,73,18,24,39,23,4,8,3,234
80104104717,65,83,31,33,48,25,3,21,5,313
80104104718,70,78,32,27,63,24,7,14,3,304
80104104719,40,65,13,22,53,14,14,11,8,245
80104104801,29,65,16,16,35,12,0,12,0,189
80104104802,55,74,33,38,56,17,17,16,6,309
80104104803,35,61,14,14,45,20,0,8,3,191
80104104804,31,61,25,20,37,10,5,8,7,199
80104104805,20,81,32,19,54,23,9,22,0,261
80104104806,36,46,23,23,35,11,10,15,0,198
80104104807,26,50,15,17,27,12,0,7,9,170
80104104808,23,54,28,30,27,6,0,10,5,181
80104104809,45,68,33,13,41,19,9,22,5,252
80104104810,25,44,27,17,27,9,7,13,0,171
80104104811,31,43,10,10,35,18,4,8,0,169
80104104812,39,76,33,48,41,13,5,24,8,291
80104104813,15,51,21,12,19,7,0,3,3,130
80104104814,45,75,31,44,48,15,7,20,0,280
80104111601,0,0,0,0,0,0,0,0,0,0
80104111702,0,0,0,0,0,0,0,0,0,0
80104111801,43,99,44,56,75,15,10,30,10,379
80104111803,0,0,0,0,0,0,0,0,0,0
80104111901,0,0,0,0,0,4,0,0,0,5
80104112001,38,64,19,12,42,13,7,10,0,212
80104112003,48,93,22,33,51,17,9,19,3,301
80104112005,28,75,29,28,31,10,3,5,4,217
80104112006,34,81,39,27,39,15,16,17,3,269
80104112007,24,60,14,18,33,12,6,10,6,186
80104112008,21,60,30,41,26,10,8,8,3,209
80104112009,21,88,34,34,51,24,8,20,9,280
